title mz rt nPeptides
qExactive01819.7783.7783.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7783%22 865.934728377451 30.884867 11767
qExactive01819.9276.9276.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9276%22 675.008906343825 36.362876 15140
qExactive01819.7565.7565.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7565%22 706.397419830421 30.174825 1703
qExactive01819.9356.9356.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9356%22 721.356107290096 36.744313000000005 14637
qExactive01819.6120.6120.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6120%22 773.391463631832 26.250384 11868
qExactive01819.5910.5910.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5910%22 815.403930953108 25.677364 17004
qExactive01819.10151.10151.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10151%22 549.3138739764 40.402966 2007
qExactive01819.9138.9138.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9138%22 752.390596821458 35.736156 8060
qExactive01819.8258.8258.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8258%22 942.438581865432 32.293946 49057
qExactive01819.10311.10311.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10311%22 712.332185733384 41.125513999999995 22639
qExactive01819.9019.9019.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9019%22 892.43206749094 35.207916 27937
qExactive01819.7706.7706.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7706%22 765.901344701795 30.624701 6484
qExactive01819.6462.6462.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6462%22 702.866843719009 27.130239 4955
qExactive01819.5271.5271.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5271%22 744.904043743609 23.720955 4617
qExactive01819.9543.9543.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9543%22 865.916970675413 37.627266 18610
